Model,Fold,Accuracy,AUC,F1
Lojistik Reg.,1,0.7402597402597403,,0.6428571428571429
Lojistik Reg.,2,0.8181818181818182,,0.7083333333333334
Lojistik Reg.,3,0.7922077922077922,,0.68
Lojistik Reg.,4,0.7272727272727273,,0.5714285714285714
Lojistik Reg.,5,0.7662337662337663,,0.6086956521739131
Lojistik Reg.,6,0.7662337662337663,,0.6086956521739131
Lojistik Reg.,7,0.7922077922077922,,0.6363636363636364
Lojistik Reg.,8,0.7662337662337663,,0.6086956521739131
Lojistik Reg.,9,0.7368421052631579,,0.5652173913043478
Lojistik Reg.,10,0.7763157894736842,,0.6666666666666666
KNN (K=26),1,0.7792207792207793,,0.6530612244897959
KNN (K=26),2,0.7792207792207793,,0.6046511627906976
KNN (K=26),3,0.7662337662337663,,0.625
KNN (K=26),4,0.7402597402597403,,0.6
KNN (K=26),5,0.7532467532467533,,0.5581395348837209
KNN (K=26),6,0.7532467532467533,,0.5957446808510638
KNN (K=26),7,0.7402597402597403,,0.5
KNN (K=26),8,0.7922077922077922,,0.6363636363636364
KNN (K=26),9,0.7763157894736842,,0.6382978723404256
KNN (K=26),10,0.75,,0.6122448979591837
Gaussian NB,1,0.7142857142857143,,0.6451612903225806
Gaussian NB,2,0.7532467532467533,,0.6274509803921569
Gaussian NB,3,0.7922077922077922,,0.6923076923076923
Gaussian NB,4,0.6623376623376623,,0.5
Gaussian NB,5,0.7922077922077922,,0.7037037037037037
Gaussian NB,6,0.7662337662337663,,0.625
Gaussian NB,7,0.7532467532467533,,0.5957446808510638
Gaussian NB,8,0.7922077922077922,,0.6666666666666666
Gaussian NB,9,0.6578947368421053,,0.5
Gaussian NB,10,0.7631578947368421,,0.64
